SourceFile,proportion,median_rank,School,Normalized Proportion,Normalized Median Rank,Specialty
Yale_match_list.csv,0.00909090909090909,39.0,Yale,-2.3253832655670554,0.4618320466732208,Anesthesiology
Brown_match_list.csv,0.028037383177570093,111.0,Brown,-1.732276668936087,3.7622695018069083,Anesthesiology
Stanford_match_list.csv,0.03225806451612903,3.5,Stanford,-1.6001510854250653,-1.1654669763440835,Anesthesiology
UNC_match_list.csv,0.03333333333333333,15.0,UNC,-1.5664905201020194,-0.638313771704675,Anesthesiology
NYU_match_list.csv,0.0425531914893617,17.0,NYU,-1.2778690770129233,-0.546634953506517,Anesthesiology
Einstein_match_list.csv,0.05357142857142857,49.0,Einstein,-0.9329505942004046,0.9202261376640107,Anesthesiology
University of Iowa_match_list.csv,0.05384615384615385,34.0,University of Iowa,-0.9243505047085273,0.23263500117782585,Anesthesiology
OhioState_match_list.csv,0.055248618784530384,45.5,OhioState,-0.8804472854240276,0.7597882058172343,Anesthesiology
Case Western_match_list.csv,0.055865921787709494,16.0,Case Western,-0.8611230311257884,-0.592474362605596,Anesthesiology
UMich_match_list.csv,0.06451612903225806,26.0,UMich,-0.5903341257336868,-0.1340802716148061,Anesthesiology
Columbia_match_list.csv,0.06504065040650407,15.0,Columbia,-0.5739143377712251,-0.638313771704675,Anesthesiology
Hopkins_match_list.csv,0.06666666666666667,4.0,Hopkins,-0.5230129950875949,-1.142547271794544,Anesthesiology
Harvard_match_list.csv,0.06748466257668712,4.0,Harvard,-0.49740618465779307,-1.142547271794544,Anesthesiology
University of Minnesota_match_list.csv,0.06796116504854369,85.0,University of Minnesota,-0.4824895960579086,2.5704448652308547,Anesthesiology
Emory_match_list.csv,0.07207207207207207,25.0,Emory,-0.35380042346363416,-0.1799196807138851,Anesthesiology
University of Miami_match_list.csv,0.07291666666666667,35.0,University of Miami,-0.3273609591473901,0.27847441027690484,Anesthesiology
UTSW_match_list.csv,0.07425742574257425,27.0,UTSW,-0.28538940028233,-0.08824086251572709,Anesthesiology
Vanderbilt_match_list.csv,0.075,18.0,Vanderbilt,-0.2621436138339888,-0.500795544407438,Anesthesiology
UWashington_match_list.csv,0.08032128514056225,28.0,UWashington,-0.09556437038289085,-0.042401453416648104,Anesthesiology
Northwestern_match_list.csv,0.08064516129032258,12.0,Northwestern,-0.08542564588799754,-0.775831999001912,Anesthesiology
Geisel (Dartmouth)_match_list.csv,0.0821917808219178,18.0,Geisel (Dartmouth),-0.03700976425895892,-0.500795544407438,Anesthesiology
University of Alabama_match_list.csv,0.08843537414965986,22.0,University of Alabama,0.1584417151259069,-0.31743790801112204,Anesthesiology
Baylor_match_list.csv,0.08974358974358974,37.0,Baylor,0.19939452223008367,0.3701532284750628,Anesthesiology
University of Florida_match_list.csv,0.09090909090909091,26.0,University of Florida,0.23587975037744124,-0.1340802716148061,Anesthesiology
UPenn_match_list.csv,0.09401709401709402,8.0,UPenn,0.3331736921037278,-0.959189635398228,Anesthesiology
University of Utah_match_list.csv,0.09433962264150944,29.0,University of Utah,0.34327023322626726,0.003437955682430892,Anesthesiology
Sydney Kimmel_match_list.csv,0.10047846889952153,47.0,Sydney Kimmel,0.5354426762189026,0.8285473194658528,Anesthesiology
Pitt_match_list.csv,0.10344827586206896,14.0,Pitt,0.6284104807903909,-0.684153180803754,Anesthesiology
UChicago_match_list.csv,0.10344827586206896,10.0,UChicago,0.6284104807903909,-0.86751081720007,Anesthesiology
Colorado_match_list.csv,0.10526315789473684,42.0,Colorado,0.6852241391396334,0.5993502739704578,Anesthesiology
Cornell_match_list.csv,0.10909090909090909,14.0,Cornell,0.805049309476218,-0.684153180803754,Anesthesiology
USC Keck_match_list.csv,0.1103448275862069,44.0,USC Keck,0.8443023825175131,0.6910290921686157,Anesthesiology
Hofstra_match_list.csv,0.1111111111111111,19.0,Hofstra,0.8682903715983044,-0.45495613530835904,Anesthesiology
