Rank,Program,Location,Specialty,SourceFile,city,state_id,lat,lng,population,density,Year,School,geographic US location
1.0,Mass General Brigham/Massachusetts General Hospital,"Boston, MA",Anesthesiology,NYU_match_list.csv,Boston,MA,42.3188,-71.0852,4355184.0,5303.3,,NYU,New England
15.0,NYU Grossman School of Medicine,"New York, NY",Anesthesiology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
19.0,Icahn School of Medicine at Mount Sinai/Mount Sinai Hospital,"New York, NY",Anesthesiology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
20.0,New York Presbyterian Hospital (Cornell Campus),"New York, NY",Anesthesiology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
20.0,NYU Grossman School of Medicine,"New York, NY",Child Neurology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
3.0,Mass General Brigham/Massachusetts General Hospital/Beth Israel Deaconess Medical Center/Brigham and Women's Hosp,"Boston, MA",Dermatology,NYU_match_list.csv,Boston,MA,42.3188,-71.0852,4355184.0,5303.3,,NYU,New England
3.0,Mass General Brigham/Massachusetts General Hospital/Beth Israel Deaconess Medical Center/Brigham and Women's Hosp,"Boston, MA",Dermatology,NYU_match_list.csv,Boston,MA,42.3188,-71.0852,4355184.0,5303.3,,NYU,New England
4.0,NYU Grossman School of Medicine,"New York, NY",Dermatology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
4.0,NYU Grossman School of Medicine,"New York, NY",Dermatology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
4.0,NYU Grossman School of Medicine,"New York, NY",Dermatology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
4.0,NYU Grossman School of Medicine,"New York, NY",Diagnostic Radiology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
4.0,NYU Grossman School of Medicine,"New York, NY",Diagnostic Radiology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
12.0,New York Presbyterian Hospital (Cornell Campus),"New York, NY",Diagnostic Radiology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
18.0,University of Washington,"Seattle, WA",Diagnostic Radiology,NYU_match_list.csv,Seattle,WA,47.6211,-122.3244,3555253.0,3408.0,,NYU,Pacific West
24.0,Icahn School of Medicine at Mount Sinai/West,"New York, NY",Diagnostic Radiology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
27.0,NYU Grossman School of Medicine,"New York, NY",Emergency Medicine,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
39.0,Johns Hopkins University,"Baltimore, MD",Emergency Medicine,NYU_match_list.csv,Baltimore,MD,39.3051,-76.6144,2189589.0,2753.1,,NYU,South Atlantic
7.0,University of Washington,"Seattle, WA",Family Medicine,NYU_match_list.csv,Seattle,WA,47.6211,-122.3244,3555253.0,3408.0,,NYU,Pacific West
27.0,University of Pennsylvania Health System,"Philadelphia, PA",Family Medicine,NYU_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,,NYU,Middle Atlantic
16.0,NYU Grossman School of Medicine,"New York, NY",General Surgery,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
16.0,NYU Grossman School of Medicine,"New York, NY",General Surgery,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
29.0,University of Colorado,"Aurora, CO",General Surgery,NYU_match_list.csv,Aurora,CO,39.7083,-104.7237,390201.0,924.2,,NYU,Mountain West
49.0,Zucker School of Medicine at Hofstra/Northwell,"New Hyde Park, NY",General Surgery,NYU_match_list.csv,New Hyde Park,NY,40.7323,-73.6858,10208.0,4649.1,,NYU,Middle Atlantic
58.0,Beth Israel Deaconess Medical Center,"Boston, MA",General Surgery,NYU_match_list.csv,Boston,MA,42.3188,-71.0852,4355184.0,5303.3,,NYU,New England
1.0,Mass General Brigham/Massachusetts General Hospital,"Boston, MA",Internal Medicine,NYU_match_list.csv,Boston,MA,42.3188,-71.0852,4355184.0,5303.3,,NYU,New England
1.0,Mass General Brigham/Massachusetts General Hospital,"Boston, MA",Internal Medicine,NYU_match_list.csv,Boston,MA,42.3188,-71.0852,4355184.0,5303.3,,NYU,New England
3.0,University of California (San Francisco),"San Francisco, CA",Internal Medicine,NYU_match_list.csv,San Francisco,CA,37.7558,-122.4449,3364862.0,6914.5,,NYU,Pacific West
9.0,New York Presbyterian Hospital (Columbia Campus),"New York, NY",Internal Medicine,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
9.0,New York Presbyterian Hospital (Columbia Campus),"New York, NY",Internal Medicine,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
9.0,New York Presbyterian Hospital (Columbia Campus),"New York, NY",Internal Medicine,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
9.0,New York Presbyterian Hospital (Columbia Campus),"New York, NY",Internal Medicine,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
9.0,New York Presbyterian Hospital (Columbia Campus),"New York, NY",Internal Medicine,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
10.0,University of Texas Southwestern Medical Center,"Dallas, TX",Internal Medicine,NYU_match_list.csv,Dallas,TX,32.7935,-96.7667,5843632.0,1477.2,,NYU,West South Central
10.0,University of Texas Southwestern Medical Center,"Dallas, TX",Internal Medicine,NYU_match_list.csv,Dallas,TX,32.7935,-96.7667,5843632.0,1477.2,,NYU,West South Central
11.0,UCLA David Geffen School of Medicine/UCLA Medical Center,"Los Angeles, CA",Internal Medicine,NYU_match_list.csv,Los Angeles,CA,34.1141,-118.4068,11885717.0,3165.8,,NYU,Pacific West
11.0,UCLA David Geffen School of Medicine/UCLA Medical Center,"Los Angeles, CA",Internal Medicine,NYU_match_list.csv,Los Angeles,CA,34.1141,-118.4068,11885717.0,3165.8,,NYU,Pacific West
13.0,University of Washington,"Seattle, WA",Internal Medicine,NYU_match_list.csv,Seattle,WA,47.6211,-122.3244,3555253.0,3408.0,,NYU,Pacific West
14.0,NYU Grossman School of Medicine,"New York, NY",Internal Medicine,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
14.0,NYU Grossman School of Medicine,"New York, NY",Internal Medicine,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
